run_id,repeat,system,query,concurrency,request_id,success,status,latency_ms,error
20260527-205309,1,spin,space,10,367,true,200,121.184,
20260527-205309,1,spin,space,10,374,true,200,101.484,
20260527-205309,1,spin,space,10,372,true,200,109.302,
20260527-205309,1,spin,space,10,368,true,200,119.049,
20260527-205309,1,spin,space,10,370,true,200,118.613,
20260527-205309,1,spin,space,10,373,true,200,112.196,
20260527-205309,1,spin,space,10,371,true,200,120.793,
20260527-205309,1,spin,space,10,369,true,200,128.704,
20260527-205309,1,spin,space,10,382,true,200,114.168,
20260527-205309,1,spin,space,10,377,true,200,120.956,
20260527-205309,1,spin,space,10,380,true,200,118.275,
20260527-205309,1,spin,space,10,378,true,200,123.412,
20260527-205309,1,spin,space,10,381,true,200,120.307,
20260527-205309,1,spin,space,10,383,true,200,119.648,
20260527-205309,1,spin,space,10,379,true,200,126.367,
20260527-205309,1,spin,space,10,384,true,200,121.535,
20260527-205309,1,spin,space,10,376,true,200,147.863,
20260527-205309,1,spin,space,10,375,true,200,154.255,
20260527-205309,1,spin,space,10,386,true,200,149.502,
20260527-205309,1,spin,space,10,389,true,200,147.344,
20260527-205309,1,spin,space,10,388,true,200,152.525,
20260527-205309,1,spin,space,10,385,true,200,159.683,
20260527-205309,1,spin,space,10,391,true,200,153.448,
20260527-205309,1,spin,space,10,387,true,200,161.382,
20260527-205309,1,spin,space,10,390,true,200,158.438,
20260527-205309,1,spin,space,10,394,true,200,147.584,
20260527-205309,1,spin,space,10,392,true,200,163.404,
20260527-205309,1,spin,space,10,393,true,200,156.068,
20260527-205309,1,spin,space,10,396,true,200,146.819,
20260527-205309,1,spin,space,10,397,true,200,147.124,
20260527-205309,1,spin,space,10,395,true,200,152.739,
20260527-205309,1,spin,space,10,400,true,200,140.393,
20260527-205309,1,spin,space,10,399,true,200,147.716,
20260527-205309,1,spin,space,10,402,true,200,133.155,
20260527-205309,1,spin,space,10,401,true,200,145.182,
20260527-205309,1,spin,space,10,398,true,200,154.249,
20260527-205309,1,spin,space,10,404,true,200,142.109,
20260527-205309,1,spin,space,10,403,true,200,148.809,
20260527-205309,1,spin,space,10,407,true,200,127.404,
20260527-205309,1,spin,space,10,410,true,200,126.511,
20260527-205309,1,spin,space,10,405,true,200,140.365,
20260527-205309,1,spin,space,10,414,true,200,111.429,
20260527-205309,1,spin,space,10,409,true,200,130.210,
20260527-205309,1,spin,space,10,408,true,200,139.153,
20260527-205309,1,spin,space,10,406,true,200,140.182,
20260527-205309,1,spin,space,10,413,true,200,119.770,
20260527-205309,1,spin,space,10,411,true,200,135.186,
20260527-205309,1,spin,space,10,412,true,200,139.645,
20260527-205309,1,spin,space,10,418,true,200,108.885,
20260527-205309,1,spin,space,10,415,true,200,118.420,
20260527-205309,1,spin,space,10,419,true,200,111.023,
20260527-205309,1,spin,space,10,423,true,200,106.171,
20260527-205309,1,spin,space,10,416,true,200,116.879,
20260527-205309,1,spin,space,10,420,true,200,111.260,
20260527-205309,1,spin,space,10,421,true,200,114.723,
20260527-205309,1,spin,space,10,417,true,200,119.848,
20260527-205309,1,spin,space,10,424,true,200,111.501,
20260527-205309,1,spin,space,10,422,true,200,121.608,
20260527-205309,1,spin,space,10,432,true,200,101.506,
20260527-205309,1,spin,space,10,431,true,200,104.195,
20260527-205309,1,spin,space,10,430,true,200,109.047,
20260527-205309,1,spin,space,10,427,true,200,113.104,
20260527-205309,1,spin,space,10,434,true,200,98.884,
20260527-205309,1,spin,space,10,425,true,200,122.052,
20260527-205309,1,spin,space,10,433,true,200,105.890,
20260527-205309,1,spin,space,10,429,true,200,121.025,
20260527-205309,1,spin,space,10,426,true,200,126.220,
20260527-205309,1,spin,space,10,428,true,200,124.939,
20260527-205309,1,spin,space,10,444,true,200,96.279,
20260527-205309,1,spin,space,10,443,true,200,98.072,
20260527-205309,1,spin,space,10,442,true,200,99.656,
20260527-205309,1,spin,space,10,439,true,200,110.329,
20260527-205309,1,spin,space,10,435,true,200,118.147,
20260527-205309,1,spin,space,10,440,true,200,110.039,
20260527-205309,1,spin,space,10,438,true,200,118.336,
20260527-205309,1,spin,space,10,436,true,200,119.832,
20260527-205309,1,spin,space,10,441,true,200,112.973,
20260527-205309,1,spin,space,10,437,true,200,122.559,
20260527-205309,1,spin,space,10,445,true,200,125.693,
20260527-205309,1,spin,space,10,447,true,200,128.994,
20260527-205309,1,spin,space,10,449,true,200,129.142,
20260527-205309,1,spin,space,10,454,true,200,124.868,
20260527-205309,1,spin,space,10,451,true,200,131.541,
20260527-205309,1,spin,space,10,446,true,200,141.790,
20260527-205309,1,spin,space,10,452,true,200,133.370,
20260527-205309,1,spin,space,10,450,true,200,143.072,
20260527-205309,1,spin,space,10,448,true,200,150.315,
20260527-205309,1,spin,space,10,453,true,200,141.151,
20260527-205309,1,spin,space,10,456,true,200,132.872,
20260527-205309,1,spin,space,10,459,true,200,122.588,
20260527-205309,1,spin,space,10,464,true,200,113.787,
20260527-205309,1,spin,space,10,458,true,200,128.571,
20260527-205309,1,spin,space,10,462,true,200,121.875,
20260527-205309,1,spin,space,10,460,true,200,141.090,
20260527-205309,1,spin,space,10,461,true,200,141.917,
20260527-205309,1,spin,space,10,455,true,200,161.361,
20260527-205309,1,spin,space,10,463,true,200,149.469,
20260527-205309,1,spin,space,10,457,true,200,211.389,
20260527-205309,1,spin,space,10,466,true,200,136.568,
20260527-205309,1,spin,space,10,470,true,200,123.451,
20260527-205309,1,spin,space,10,465,true,200,144.854,
20260527-205309,1,spin,space,10,469,true,200,136.268,
20260527-205309,1,spin,space,10,467,true,200,144.614,
20260527-205309,1,spin,space,10,472,true,200,125.362,
20260527-205309,1,spin,space,10,468,true,200,152.611,
20260527-205309,1,spin,space,10,471,true,200,138.232,
20260527-205309,1,spin,space,10,473,true,200,126.527,
20260527-205309,1,spin,space,10,474,true,200,133.441,
20260527-205309,1,spin,space,10,476,true,200,128.391,
20260527-205309,1,spin,space,10,477,true,200,137.315,
20260527-205309,1,spin,space,10,479,true,200,141.181,
20260527-205309,1,spin,space,10,475,true,200,152.160,
20260527-205309,1,spin,space,10,478,true,200,145.563,
20260527-205309,1,spin,space,10,480,true,200,148.192,
20260527-205309,1,spin,space,10,481,true,200,142.602,
20260527-205309,1,spin,space,10,483,true,200,136.133,
20260527-205309,1,spin,space,10,482,true,200,141.723,
20260527-205309,1,spin,space,10,484,true,200,171.829,
20260527-205309,1,spin,space,10,485,true,200,132.235,
20260527-205309,1,spin,space,10,486,true,200,132.874,
20260527-205309,1,spin,space,10,487,true,200,126.999,
20260527-205309,1,spin,space,10,489,true,200,130.199,
20260527-205309,1,spin,space,10,491,true,200,125.085,
20260527-205309,1,spin,space,10,488,true,200,136.415,
20260527-205309,1,spin,space,10,490,true,200,128.964,
20260527-205309,1,spin,space,10,492,true,200,127.753,
20260527-205309,1,spin,space,10,493,true,200,131.869,
20260527-205309,1,spin,space,10,494,true,200,134.711,
20260527-205309,1,spin,space,10,495,true,200,125.094,
20260527-205309,1,spin,space,10,499,true,200,120.693,
20260527-205309,1,spin,space,10,497,true,200,131.595,
20260527-205309,1,spin,space,10,498,true,200,130.017,
20260527-205309,1,spin,space,10,501,true,200,125.174,
20260527-205309,1,spin,space,10,496,true,200,137.426,
20260527-205309,1,spin,space,10,503,true,200,120.287,
20260527-205309,1,spin,space,10,502,true,200,125.695,
20260527-205309,1,spin,space,10,500,true,200,131.417,
20260527-205309,1,spin,space,10,504,true,200,136.718,
20260527-205309,1,spin,space,10,505,true,200,142.117,
20260527-205309,1,spin,space,10,508,true,200,121.276,
20260527-205309,1,spin,space,10,509,true,200,120.455,
20260527-205309,1,spin,space,10,510,true,200,120.516,
20260527-205309,1,spin,space,10,506,true,200,131.383,
20260527-205309,1,spin,space,10,512,true,200,126.031,
20260527-205309,1,spin,space,10,513,true,200,125.573,
